epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,1295.8,0.12368,0.12806,0.12253,0.82954,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.06934,0.08823,0.07872,0.68809,0,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
63,1313.58,0.12053,0.12327,0.1161,0.82815,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.99483,0.07105,0.08895,0.08161,0.68793,0,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
64,1330.77,0.12097,0.12696,0.11776,0.82904,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.99483,0.06509,0.08765,0.07845,0.68736,0,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075
65,1348.25,0.11612,0.12617,0.11515,0.83203,0,0.99943,1,0.995,0.995,0.99943,1,0.995,0.99484,0.06619,0.08766,0.06842,0.68729,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
66,1365.44,0.11144,0.11987,0.11113,0.82898,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.06593,0.0876,0.06985,0.6874,0,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125
67,1382.57,0.11792,0.13125,0.11983,0.82838,0,0.99943,1,0.995,0.995,0.99943,1,0.995,0.995,0.06557,0.0871,0.07442,0.68712,0,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
68,1399.92,0.11566,0.1265,0.11205,0.81219,0,1,1,0.995,0.995,1,1,0.995,0.99485,0.06839,0.0872,0.07722,0.68841,0,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175
69,1417.19,0.12089,0.13651,0.12023,0.82835,0,1,1,0.995,0.995,1,1,0.995,0.995,0.06606,0.08686,0.0742,0.68818,0,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
70,1435.3,0.11115,0.12476,0.10911,0.82209,0,1,1,0.995,0.995,1,1,0.995,0.995,0.06282,0.08824,0.06913,0.68718,0,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225
71,1453.87,0.07762,0.09046,0.09829,0.76692,0,0.9994,1,0.995,0.995,0.9994,1,0.995,0.995,0.06566,0.08891,0.07341,0.68649,0,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
72,1470.95,0.07565,0.09046,0.08364,0.77765,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.06448,0.08801,0.06865,0.68598,0,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275
73,1487.89,0.07717,0.08982,0.08547,0.76887,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.06031,0.08803,0.06733,0.68558,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
74,1504.93,0.0779,0.09016,0.08896,0.7734,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.9948,0.06232,0.08827,0.06923,0.68588,0,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325
75,1521.77,0.07366,0.08934,0.08422,0.78367,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.05977,0.08773,0.07121,0.68566,0,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
76,1538.82,0.07251,0.08857,0.08116,0.78395,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.05995,0.08699,0.06773,0.68502,0,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375
77,1555.8,0.07439,0.08935,0.08315,0.77542,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.05983,0.08689,0.06883,0.68496,0,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
78,1572.86,0.07139,0.08764,0.07944,0.77142,0,0.99944,1,0.995,0.995,0.99944,1,0.995,0.995,0.05744,0.08669,0.06321,0.68494,0,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05
79,1589.83,0.06965,0.08774,0.07966,0.77112,0,0.99944,1,0.995,0.995,0.99944,1,0.995,0.995,0.05629,0.08656,0.06236,0.6851,0,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
80,1606.87,0.06599,0.08807,0.07536,0.77244,0,0.99944,1,0.995,0.995,0.99944,1,0.995,0.995,0.05659,0.08646,0.0627,0.68487,0,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05
